Loaded plugins: fastestmirror
Determining fastest mirrors
Installed Packages
libRmath-devel.x86_64               3.3.1-2.el7            @epel7               
libSM.x86_64                        1.2.2-2.el7            @base                
libX11.x86_64                       1.6.3-2.el7            @base                
libX11-common.noarch                1.6.3-2.el7            @base                
libX11-devel.x86_64                 1.6.3-2.el7            @base                
libXau.x86_64                       1.0.8-2.1.el7          @base                
libXau-devel.x86_64                 1.0.8-2.1.el7          @base                
libXaw.x86_64                       1.0.12-5.el7           @base                
libXcomposite.x86_64                0.4.4-4.1.el7          @base                
libXcursor.x86_64                   1.1.14-2.1.el7         @base                
libXdamage.x86_64                   1.1.4-4.1.el7          @base                
libXevie.x86_64                     1.0.3-7.1.el7          @base                
libXext.x86_64                      1.3.3-3.el7            @base                
libXfixes.x86_64                    5.0.1-2.1.el7          @base                
libXfont.x86_64                     1.5.1-2.el7            @base                
libXft.x86_64                       2.3.2-2.el7            @base                
libXft-devel.x86_64                 2.3.2-2.el7            @base                
libXi.x86_64                        1.7.4-2.el7            @base                
libXinerama.x86_64                  1.1.3-2.1.el7          @base                
libXmu.x86_64                       1.1.2-2.el7            @base                
libXp.x86_64                        1.0.2-2.1.el7          @base                
libXpm.x86_64                       3.5.11-3.el7           @base                
libXrandr.x86_64                    1.4.2-2.el7            @base                
libXrender.x86_64                   0.9.8-2.1.el7          @base                
libXrender-devel.x86_64             0.9.8-2.1.el7          @base                
libXt.x86_64                        1.1.4-6.1.el7          @base                
libXtst.x86_64                      1.2.2-2.1.el7          @base                
libXv.x86_64                        1.0.10-2.el7           @base                
libXxf86misc.x86_64                 1.0.3-7.1.el7          @base                
libXxf86vm.x86_64                   1.1.3-2.1.el7          @base                
libacl.x86_64                       2.2.51-12.el7          @anaconda            
libaio.x86_64                       0.3.109-12.el7         @anaconda            
libarchive.x86_64                   3.1.2-10.el7_2         @centos7-x86_64-update
libassuan.x86_64                    2.1.0-3.el7            @anaconda            
libasyncns.x86_64                   0.8-7.el7              @base                
libatasmart.x86_64                  0.19-6.el7             @base                
libattr.x86_64                      2.4.46-12.el7          @anaconda            
libavc1394.x86_64                   0.5.3-14.el7           @base                
libblkid.x86_64                     2.23.2-21.el7          @anaconda            
libbluray.x86_64                    0.2.3-5.el7            @base                
libcap.x86_64                       2.22-8.el7             @anaconda            
libcap-ng.x86_64                    0.7.3-5.el7            @anaconda            
libcdio.x86_64                      0.92-1.el7             @base                
libcdio-paranoia.x86_64             10.2+0.90-11.el7       @base                
libcgroup.x86_64                    0.41-8.el7             @base                
libcom_err.x86_64                   1.42.9-7.el7           @anaconda            
libcroco.x86_64                     0.6.8-5.el7            @anaconda            
libcurl.x86_64                      7.29.0-25.el7.centos   @base                
libdaemon.x86_64                    0.14-7.el7             @anaconda            
libdb.x86_64                        5.3.21-19.el7          @base                
libdb-devel.x86_64                  5.3.21-19.el7          @base                
libdb-utils.x86_64                  5.3.21-19.el7          @base                
libdrm.x86_64                       2.4.56-2.el7           @anaconda            
libdv.x86_64                        1.0.0-17.el7           @base                
libdwarf.x86_64                     20130207-4.el7         @base                
libedit.x86_64                      3.0-12.20121213cvs.el7 @anaconda            
liberation-fonts-common.noarch      1:1.07.2-15.el7        @base                
liberation-mono-fonts.noarch        1:1.07.2-15.el7        @base                
libestr.x86_64                      0.1.9-2.el7            @anaconda            
libfabric.x86_64                    1.1.0-2.el7            @base                
libffi.x86_64                       3.0.13-11.el7          @anaconda            
libfontenc.x86_64                   1.1.2-3.el7            @base                
libgcc.x86_64                       4.8.5-4.el7            @base                
libgcrypt.x86_64                    1.5.3-12.el7           @anaconda            
libgfortran.x86_64                  4.8.5-4.el7            @base                
libgnat.x86_64                      4.8.5-4.el7            @base                
libgnat-devel.x86_64                4.8.5-4.el7            @base                
libgnome-keyring.x86_64             3.8.0-3.el7            @base                
libgomp.x86_64                      4.8.5-4.el7            @base                
libgpg-error.x86_64                 1.12-3.el7             @anaconda            
libgudev1.x86_64                    219-19.el7_2.13        @centos7-x86_64-update
libgusb.x86_64                      0.1.6-3.el7            @base                
libibumad.x86_64                    1.3.10.2-1.el7         @base                
libibverbs.x86_64                   1.1.8-8.el7            @base                
libicu.x86_64                       50.1.2-15.el7          @base                
libicu-devel.x86_64                 50.1.2-15.el7          @base                
libidn.x86_64                       1.28-3.el7             @anaconda            
libiec61883.x86_64                  1.2.0-10.el7           @base                
libjpeg-turbo.x86_64                1.2.90-5.el7           @base                
liblockfile.x86_64                  1.08-17.el7            @base                
libmng.x86_64                       1.0.10-14.el7          @base                
libmnl.x86_64                       1.0.3-7.el7            @anaconda            
libmodman.x86_64                    2.0.1-8.el7            @anaconda            
libmount.x86_64                     2.23.2-21.el7          @anaconda            
libmpc.x86_64                       1.0.1-3.el7            @base                
libndp.x86_64                       1.2-4.el7              @anaconda            
libnetfilter_conntrack.x86_64       1.0.4-2.el7            @anaconda            
libnfnetlink.x86_64                 1.0.1-4.el7            @anaconda            
libnl3.x86_64                       3.2.21-8.el7           @anaconda            
libnl3-cli.x86_64                   3.2.21-8.el7           @anaconda            
libnotify.x86_64                    0.7.5-8.el7            @base                
libobjc.x86_64                      4.8.5-4.el7            @base                
libogg.x86_64                       2:1.3.0-7.el7          @base                
libotf.x86_64                       0.9.13-4.el7           @base                
libpcap.x86_64                      14:1.5.3-3.el7_0.1     @anaconda            
libpciaccess.x86_64                 0.13.1-4.1.el7         @anaconda            
libpeas.x86_64                      1.12.1-1.el7           @base                
libpipeline.x86_64                  1.2.3-3.el7            @anaconda            
libpng.x86_64                       2:1.5.13-7.el7_2       @centos7-x86_64-update
libpng12.x86_64                     1.2.50-7.el7_2         @centos7-x86_64-update
libproxy.x86_64                     0.4.11-6.el7           @anaconda            
libpsm2.x86_64                      0.7-4.el7              @base                
libpwquality.x86_64                 1.2.3-4.el7            @anaconda            
libquadmath.x86_64                  4.8.5-4.el7            @base                
libquadmath-devel.x86_64            4.8.5-4.el7            @base                
libraw1394.x86_64                   2.1.0-2.el7            @base                
librdmacm.x86_64                    1.0.21-1.el7           @base                
libreport-filesystem.x86_64         2.1.11-32.el7.centos   @base                
librsvg2.x86_64                     2.39.0-1.el7           @base                
libsecret.x86_64                    0.18.2-2.el7           @base                
libselinux.x86_64                   2.2.2-6.el7            @anaconda            
libselinux-python.x86_64            2.2.2-6.el7            @anaconda            
libselinux-ruby.x86_64              2.2.2-6.el7            @base                
libselinux-utils.x86_64             2.2.2-6.el7            @anaconda            
libsemanage.x86_64                  2.1.10-18.el7          @base                
libsemanage-python.x86_64           2.1.10-18.el7          @base                
libsepol.x86_64                     2.1.9-3.el7            @anaconda            
libshout.x86_64                     2.2.2-11.el7           @base                
libsndfile.x86_64                   1.0.25-10.el7          @base                
libsoup.x86_64                      2.46.0-3.el7           @anaconda            
libss.x86_64                        1.42.9-7.el7           @anaconda            
libssh2.x86_64                      1.4.3-8.el7            @anaconda            
libstdc++.x86_64                    4.8.5-4.el7            @base                
libstdc++-devel.x86_64              4.8.5-4.el7            @base                
libsysfs.x86_64                     2.1.0-16.el7           @anaconda            
libtasn1.x86_64                     3.8-2.el7              @anaconda            
libteam.x86_64                      1.15-1.el7             @anaconda            
libthai.x86_64                      0.1.14-9.el7           @base                
libtheora.x86_64                    1:1.1.1-8.el7          @base                
libtiff.x86_64                      4.0.3-25.el7_2         @centos7-x86_64-update
libtool.x86_64                      2.4.2-21.el7_2         @centos7-x86_64-update
libtool-ltdl.x86_64                 2.4.2-21.el7_2         @centos7-x86_64-update
libudisks2.x86_64                   2.1.2-6.el7            @base                
libunistring.x86_64                 0.9.3-9.el7            @anaconda            
libusbx.x86_64                      1.0.15-4.el7           @base                
libuser.x86_64                      0.60-5.el7             @anaconda            
libutempter.x86_64                  1.1.6-4.el7            @anaconda            
libuuid.x86_64                      2.23.2-21.el7          @anaconda            
libv4l.x86_64                       0.9.5-4.el7            @base                
libverto.x86_64                     0.2.5-4.el7            @anaconda            
libvisual.x86_64                    0.4.0-16.el7           @base                
libvorbis.x86_64                    1:1.3.3-8.el7          @base                
libwebp.x86_64                      0.3.0-3.el7            @base                
libwmf-lite.x86_64                  0.2.8.4-41.el7_1       @base                
libxcb.x86_64                       1.11-4.el7             @base                
libxcb-devel.x86_64                 1.11-4.el7             @base                
libxml2.x86_64                      2.9.1-5.el7_0.1        @anaconda            
libxshmfence.x86_64                 1.2-1.el7              @base                
libxslt.x86_64                      1.1.28-5.el7           @base                
libyaml.x86_64                      0.1.4-11.el7_0         @base                
linux-firmware.noarch               20140911-0.1.git365e80c.el7
                                                           @anaconda            
lksctp-tools.x86_64                 1.0.13-3.el7           @base                
logrotate.x86_64                    3.8.6-4.el7            @anaconda            
lsof.x86_64                         4.87-4.el7             @base                
lua.x86_64                          5.1.4-14.el7           @anaconda            
lvm2.x86_64                         7:2.02.115-3.el7       @anaconda            
lvm2-libs.x86_64                    7:2.02.115-3.el7       @anaconda            
lzo.x86_64                          2.06-6.el7_0.2         @anaconda            
m17n-db.noarch                      1.6.4-3.el7            @base                
m17n-lib.x86_64                     1.6.4-14.el7           @base                
m4.x86_64                           1.4.16-10.el7          @base                
mailcap.noarch                      2.1.41-2.el7           @base                
mailx.x86_64                        12.5-12.el7_0          @base                
make.x86_64                         1:3.82-21.el7          @anaconda            
man-db.x86_64                       2.6.3-9.el7            @anaconda            
mariadb-libs.x86_64                 1:5.5.41-2.el7_0       @anaconda            
mdadm.x86_64                        3.3.2-7.el7_2.1        @centos7-x86_64-update
mercurial.x86_64                    2.6.2-6.el7_2          @centos7-x86_64-update
mesa-libEGL.x86_64                  10.6.5-3.20150824.el7  @base                
mesa-libGL.x86_64                   10.6.5-3.20150824.el7  @base                
mesa-libGLU.x86_64                  9.0.0-4.el7            @base                
mesa-libgbm.x86_64                  10.6.5-3.20150824.el7  @base                
